family	type	auc
Ets-related factors{3.5.2}	all	0.67366
Ets-related factors{3.5.2}	all	0.67943
Ets-related factors{3.5.2}	all	0.86968
Ets-related factors{3.5.2}	all	0.85181
Ets-related factors{3.5.2}	all	0.86271
Ets-related factors{3.5.2}	all	0.61578
Ets-related factors{3.5.2}	all	0.62912
Ets-related factors{3.5.2}	all	0.6365
Ets-related factors{3.5.2}	all	0.69868
Ets-related factors{3.5.2}	all	0.43618
Ets-related factors{3.5.2}	all	0.39716
Ets-related factors{3.5.2}	all	0.50822
Ets-related factors{3.5.2}	all	0.61476
Ets-related factors{3.5.2}	all	0.79117
Ets-related factors{3.5.2}	all	0.73712
Ets-related factors{3.5.2}	all	0.77872
Ets-related factors{3.5.2}	all	0.76428
Ets-related factors{3.5.2}	all	0.77225
Ets-related factors{3.5.2}	all	0.67646
Ets-related factors{3.5.2}	all	0.63063
Ets-related factors{3.5.2}	all	0.63231
Ets-related factors{3.5.2}	all	0.77784
Ets-related factors{3.5.2}	all	0.78255
Ets-related factors{3.5.2}	all	0.71436
Ets-related factors{3.5.2}	all	0.90389
Ets-related factors{3.5.2}	all	0.71138
Ets-related factors{3.5.2}	all	0.74856
Ets-related factors{3.5.2}	all	0.72715
Ets-related factors{3.5.2}	all	0.71708
Ets-related factors{3.5.2}	all	0.64988
Ets-related factors{3.5.2}	all	0.52565
Ets-related factors{3.5.2}	all	0.57865
Ets-related factors{3.5.2}	all	0.65195
Ets-related factors{3.5.2}	all	0.66651
Ets-related factors{3.5.2}	all	0.72151
Ets-related factors{3.5.2}	all	0.63723
Ets-related factors{3.5.2}	all	0.71244
Ets-related factors{3.5.2}	all	0.57594
Ets-related factors{3.5.2}	all	0.55705
Ets-related factors{3.5.2}	all	0.73297
Ets-related factors{3.5.2}	all	0.72576
Ets-related factors{3.5.2}	all	0.67128
Ets-related factors{3.5.2}	all	0.70988
Ets-related factors{3.5.2}	all	0.79717
Ets-related factors{3.5.2}	all	0.54397
Ets-related factors{3.5.2}	all	0.80466
Ets-related factors{3.5.2}	all	0.825
Ets-related factors{3.5.2}	all	0.77756
Ets-related factors{3.5.2}	all	0.58253
Ets-related factors{3.5.2}	all	0.56284
Ets-related factors{3.5.2}	all	0.56853
Ets-related factors{3.5.2}	all	0.63565
Ets-related factors{3.5.2}	all	0.6845
Ets-related factors{3.5.2}	all	0.63896
Ets-related factors{3.5.2}	all	0.71331
Ets-related factors{3.5.2}	all	0.66987
Ets-related factors{3.5.2}	all	0.68254
Ets-related factors{3.5.2}	all	0.69635
Ets-related factors{3.5.2}	all	0.71539
Ets-related factors{3.5.2}	all	0.68932
Ets-related factors{3.5.2}	all	0.7201
Ets-related factors{3.5.2}	all	0.70773
Ets-related factors{3.5.2}	all	0.78531
Ets-related factors{3.5.2}	all	0.70421
Ets-related factors{3.5.2}	all	0.70297
Ets-related factors{3.5.2}	all	0.70133
Ets-related factors{3.5.2}	all	0.6946
Ets-related factors{3.5.2}	all	0.71954
Ets-related factors{3.5.2}	all	0.82748
Ets-related factors{3.5.2}	all	0.7126
Ets-related factors{3.5.2}	all	0.8212
Ets-related factors{3.5.2}	all	0.72438
Ets-related factors{3.5.2}	all	0.88167
Ets-related factors{3.5.2}	all	0.8436
Ets-related factors{3.5.2}	all	0.82166
Ets-related factors{3.5.2}	all	0.83301
Ets-related factors{3.5.2}	all	0.57278
Ets-related factors{3.5.2}	all	0.69825
Ets-related factors{3.5.2}	all	0.70553
Ets-related factors{3.5.2}	all	0.7498
Ets-related factors{3.5.2}	all	0.76793
Ets-related factors{3.5.2}	all	0.87302
Ets-related factors{3.5.2}	all	0.86119
Ets-related factors{3.5.2}	all	0.82719
Ets-related factors{3.5.2}	all	0.82957
Ets-related factors{3.5.2}	all	0.83535
Ets-related factors{3.5.2}	all	0.77324
Ets-related factors{3.5.2}	all	0.74162
Ets-related factors{3.5.2}	all	0.83548
Ets-related factors{3.5.2}	all	0.83281
Ets-related factors{3.5.2}	all	0.8241
Ets-related factors{3.5.2}	all	0.76913
Ets-related factors{3.5.2}	all	0.77173
Ets-related factors{3.5.2}	all	0.82749
Ets-related factors{3.5.2}	all	0.82176
Ets-related factors{3.5.2}	all	0.7463
Ets-related factors{3.5.2}	all	0.74851
Ets-related factors{3.5.2}	all	0.72217
Ets-related factors{3.5.2}	all	0.80085
Ets-related factors{3.5.2}	all	0.83672
Ets-related factors{3.5.2}	all	0.79838
Ets-related factors{3.5.2}	all	0.80771
Ets-related factors{3.5.2}	all	0.80517
Ets-related factors{3.5.2}	all	0.79429
Ets-related factors{3.5.2}	all	0.81575
Ets-related factors{3.5.2}	all	0.60568
Ets-related factors{3.5.2}	all	0.82533
Ets-related factors{3.5.2}	all	0.81095
Ets-related factors{3.5.2}	all	0.78149
Ets-related factors{3.5.2}	all	0.75869
Ets-related factors{3.5.2}	all	0.77925
Ets-related factors{3.5.2}	all	0.69836
Ets-related factors{3.5.2}	all	0.82202
Ets-related factors{3.5.2}	all	0.80017
Ets-related factors{3.5.2}	all	0.79264
Ets-related factors{3.5.2}	all	0.50973
Ets-related factors{3.5.2}	all	0.46188
Ets-related factors{3.5.2}	all	0.60757
Ets-related factors{3.5.2}	all	0.70699
Ets-related factors{3.5.2}	all	0.812
Ets-related factors{3.5.2}	all	0.75518
Ets-related factors{3.5.2}	all	0.77933
Ets-related factors{3.5.2}	all	0.74369
Ets-related factors{3.5.2}	all	0.74037
Ets-related factors{3.5.2}	all	0.75986
Ets-related factors{3.5.2}	all	0.65632
Ets-related factors{3.5.2}	all	0.59123
Ets-related factors{3.5.2}	all	0.69636
Ets-related factors{3.5.2}	all	0.69591
Ets-related factors{3.5.2}	all	0.81466
Ets-related factors{3.5.2}	all	0.84439
Ets-related factors{3.5.2}	all	0.8289
Ets-related factors{3.5.2}	all	0.79574
Ets-related factors{3.5.2}	all	0.81334
Ets-related factors{3.5.2}	all	0.82076
Ets-related factors{3.5.2}	all	0.7286
Ets-related factors{3.5.2}	all	0.6044
Ets-related factors{3.5.2}	all	0.6793
Ets-related factors{3.5.2}	all	0.73013
Ets-related factors{3.5.2}	all	0.72127
Ets-related factors{3.5.2}	all	0.76924
Ets-related factors{3.5.2}	all	0.6921
Ets-related factors{3.5.2}	all	0.75873
Ets-related factors{3.5.2}	all	0.66603
Ets-related factors{3.5.2}	all	0.63552
Ets-related factors{3.5.2}	all	0.76792
Ets-related factors{3.5.2}	all	0.74796
Ets-related factors{3.5.2}	all	0.7613
Ets-related factors{3.5.2}	all	0.72079
Ets-related factors{3.5.2}	all	0.80785
Ets-related factors{3.5.2}	all	0.50374
Ets-related factors{3.5.2}	all	0.77452
Ets-related factors{3.5.2}	all	0.75964
Ets-related factors{3.5.2}	all	0.79038
Ets-related factors{3.5.2}	all	0.68995
Ets-related factors{3.5.2}	all	0.67469
Ets-related factors{3.5.2}	all	0.6566
Ets-related factors{3.5.2}	all	0.73463
Ets-related factors{3.5.2}	all	0.84491
Ets-related factors{3.5.2}	all	0.78632
Ets-related factors{3.5.2}	all	0.83514
Ets-related factors{3.5.2}	all	0.83778
Ets-related factors{3.5.2}	all	0.85159
Ets-related factors{3.5.2}	all	0.8443
Ets-related factors{3.5.2}	all	0.85277
Ets-related factors{3.5.2}	all	0.84709
Ets-related factors{3.5.2}	all	0.8607
Ets-related factors{3.5.2}	all	0.82126
Ets-related factors{3.5.2}	all	0.83567
Ets-related factors{3.5.2}	all	0.86162
Ets-related factors{3.5.2}	all	0.83409
Ets-related factors{3.5.2}	all	0.83194
Ets-related factors{3.5.2}	all	0.85002
Ets-related factors{3.5.2}	all	0.74914
Ets-related factors{3.5.2}	all	0.79626
Ets-related factors{3.5.2}	all	0.73393
Ets-related factors{3.5.2}	all	0.78788
Ets-related factors{3.5.2}	all	0.75029
Ets-related factors{3.5.2}	all	0.80489
Ets-related factors{3.5.2}	all	0.83964
Ets-related factors{3.5.2}	all	0.80999
Ets-related factors{3.5.2}	all	0.79598
Ets-related factors{3.5.2}	all	0.63717
Ets-related factors{3.5.2}	all	0.76449
Ets-related factors{3.5.2}	all	0.74061
Ets-related factors{3.5.2}	all	0.7555
Ets-related factors{3.5.2}	all	0.73917
Ets-related factors{3.5.2}	all	0.82168
Ets-related factors{3.5.2}	all	0.82963
Ets-related factors{3.5.2}	all	0.81475
Ets-related factors{3.5.2}	all	0.82678
Ets-related factors{3.5.2}	all	0.82335
Ets-related factors{3.5.2}	all	0.77291
Ets-related factors{3.5.2}	all	0.76318
Ets-related factors{3.5.2}	all	0.79166
Ets-related factors{3.5.2}	all	0.79445
Ets-related factors{3.5.2}	all	0.80505
Ets-related factors{3.5.2}	all	0.7647
Ets-related factors{3.5.2}	all	0.76556
Ets-related factors{3.5.2}	all	0.78263
Ets-related factors{3.5.2}	all	0.78205
Ets-related factors{3.5.2}	all	0.76556
Ets-related factors{3.5.2}	all	0.77543
Ets-related factors{3.5.2}	all	0.75489
Ets-related factors{3.5.2}	all	0.60315
Ets-related factors{3.5.2}	all	0.69432
Ets-related factors{3.5.2}	all	0.60076
Ets-related factors{3.5.2}	all	0.59442
Ets-related factors{3.5.2}	all	0.60497
Ets-related factors{3.5.2}	all	0.62403
Ets-related factors{3.5.2}	all	0.64938
Ets-related factors{3.5.2}	all	0.42073
Ets-related factors{3.5.2}	all	0.61091
Ets-related factors{3.5.2}	all	0.60089
Ets-related factors{3.5.2}	all	0.74398
Ets-related factors{3.5.2}	all	0.7185
Ets-related factors{3.5.2}	all	0.73628
Ets-related factors{3.5.2}	all	0.57975
Ets-related factors{3.5.2}	all	0.58105
Ets-related factors{3.5.2}	all	0.57787
Ets-related factors{3.5.2}	all	0.61433
Ets-related factors{3.5.2}	all	0.37164
Ets-related factors{3.5.2}	all	0.33643
Ets-related factors{3.5.2}	all	0.4157
Ets-related factors{3.5.2}	all	0.53473
Ets-related factors{3.5.2}	all	0.71128
Ets-related factors{3.5.2}	all	0.65061
Ets-related factors{3.5.2}	all	0.69184
Ets-related factors{3.5.2}	all	0.66631
Ets-related factors{3.5.2}	all	0.6654
Ets-related factors{3.5.2}	all	0.58786
Ets-related factors{3.5.2}	all	0.60704
Ets-related factors{3.5.2}	all	0.59654
Ets-related factors{3.5.2}	all	0.67988
Ets-related factors{3.5.2}	all	0.68962
Ets-related factors{3.5.2}	all	0.62689
Ets-related factors{3.5.2}	all	0.8225
Ets-related factors{3.5.2}	all	0.64003
Ets-related factors{3.5.2}	all	0.65883
Ets-related factors{3.5.2}	all	0.63953
Ets-related factors{3.5.2}	all	0.6342
Ets-related factors{3.5.2}	all	0.5982
Ets-related factors{3.5.2}	all	0.4786
Ets-related factors{3.5.2}	all	0.51522
Ets-related factors{3.5.2}	all	0.58846
Ets-related factors{3.5.2}	all	0.59583
Ets-related factors{3.5.2}	all	0.6513
Ets-related factors{3.5.2}	all	0.55976
Ets-related factors{3.5.2}	all	0.64191
Ets-related factors{3.5.2}	all	0.5342
Ets-related factors{3.5.2}	all	0.52612
Ets-related factors{3.5.2}	all	0.67497
Ets-related factors{3.5.2}	all	0.65642
Ets-related factors{3.5.2}	all	0.62503
Ets-related factors{3.5.2}	all	0.65265
Ets-related factors{3.5.2}	all	0.73496
Ets-related factors{3.5.2}	all	0.50516
Ets-related factors{3.5.2}	all	0.74582
Ets-related factors{3.5.2}	all	0.75033
Ets-related factors{3.5.2}	all	0.6988
Ets-related factors{3.5.2}	all	0.49632
Ets-related factors{3.5.2}	all	0.47782
Ets-related factors{3.5.2}	all	0.49043
Ets-related factors{3.5.2}	all	0.56815
Ets-related factors{3.5.2}	all	0.61256
Ets-related factors{3.5.2}	all	0.57774
Ets-related factors{3.5.2}	all	0.64112
Ets-related factors{3.5.2}	all	0.58753
Ets-related factors{3.5.2}	all	0.6092
Ets-related factors{3.5.2}	all	0.606
Ets-related factors{3.5.2}	all	0.64327
Ets-related factors{3.5.2}	all	0.61237
Ets-related factors{3.5.2}	all	0.64302
Ets-related factors{3.5.2}	all	0.62976
Ets-related factors{3.5.2}	all	0.71485
Ets-related factors{3.5.2}	all	0.63028
Ets-related factors{3.5.2}	all	0.62718
Ets-related factors{3.5.2}	all	0.62617
Ets-related factors{3.5.2}	all	0.62623
Ets-related factors{3.5.2}	all	0.72934
Ets-related factors{3.5.2}	all	0.7889
Ets-related factors{3.5.2}	all	0.72413
Ets-related factors{3.5.2}	all	0.76022
Ets-related factors{3.5.2}	all	0.72167
Ets-related factors{3.5.2}	all	0.83598
Ets-related factors{3.5.2}	all	0.81273
Ets-related factors{3.5.2}	all	0.78919
Ets-related factors{3.5.2}	all	0.77198
Ets-related factors{3.5.2}	all	0.51573
Ets-related factors{3.5.2}	all	0.6684
Ets-related factors{3.5.2}	all	0.73949
Ets-related factors{3.5.2}	all	0.74317
Ets-related factors{3.5.2}	all	0.71572
Ets-related factors{3.5.2}	all	0.81702
Ets-related factors{3.5.2}	all	0.80656
Ets-related factors{3.5.2}	all	0.78734
Ets-related factors{3.5.2}	all	0.79937
Ets-related factors{3.5.2}	all	0.7935
Ets-related factors{3.5.2}	all	0.74865
Ets-related factors{3.5.2}	all	0.73891
Ets-related factors{3.5.2}	all	0.79719
Ets-related factors{3.5.2}	all	0.77466
Ets-related factors{3.5.2}	all	0.78986
Ets-related factors{3.5.2}	all	0.74129
Ets-related factors{3.5.2}	all	0.74662
Ets-related factors{3.5.2}	all	0.79474
Ets-related factors{3.5.2}	all	0.79149
Ets-related factors{3.5.2}	all	0.74428
Ets-related factors{3.5.2}	all	0.75358
Ets-related factors{3.5.2}	all	0.73825
Ets-related factors{3.5.2}	all	0.7428
Ets-related factors{3.5.2}	all	0.80534
Ets-related factors{3.5.2}	all	0.74621
Ets-related factors{3.5.2}	all	0.74914
Ets-related factors{3.5.2}	all	0.7555
Ets-related factors{3.5.2}	all	0.75711
Ets-related factors{3.5.2}	all	0.78773
Ets-related factors{3.5.2}	all	0.52559
Ets-related factors{3.5.2}	all	0.76595
Ets-related factors{3.5.2}	all	0.74869
Ets-related factors{3.5.2}	all	0.82843
Ets-related factors{3.5.2}	all	0.80785
Ets-related factors{3.5.2}	all	0.81836
Ets-related factors{3.5.2}	all	0.68153
Ets-related factors{3.5.2}	all	0.75699
Ets-related factors{3.5.2}	all	0.75294
Ets-related factors{3.5.2}	all	0.7596
Ets-related factors{3.5.2}	all	0.40716
Ets-related factors{3.5.2}	all	0.38267
Ets-related factors{3.5.2}	all	0.53042
Ets-related factors{3.5.2}	all	0.62835
Ets-related factors{3.5.2}	all	0.8402
Ets-related factors{3.5.2}	all	0.81464
Ets-related factors{3.5.2}	all	0.83864
Ets-related factors{3.5.2}	all	0.81886
Ets-related factors{3.5.2}	all	0.8242
Ets-related factors{3.5.2}	all	0.71996
Ets-related factors{3.5.2}	all	0.68143
Ets-related factors{3.5.2}	all	0.64397
Ets-related factors{3.5.2}	all	0.79988
Ets-related factors{3.5.2}	all	0.79731
Ets-related factors{3.5.2}	all	0.77796
Ets-related factors{3.5.2}	all	0.92261
Ets-related factors{3.5.2}	all	0.80606
Ets-related factors{3.5.2}	all	0.82663
Ets-related factors{3.5.2}	all	0.80763
Ets-related factors{3.5.2}	all	0.80365
Ets-related factors{3.5.2}	all	0.70911
Ets-related factors{3.5.2}	all	0.5565
Ets-related factors{3.5.2}	all	0.61572
Ets-related factors{3.5.2}	all	0.69201
Ets-related factors{3.5.2}	all	0.68957
Ets-related factors{3.5.2}	all	0.74794
Ets-related factors{3.5.2}	all	0.6551
Ets-related factors{3.5.2}	all	0.73356
Ets-related factors{3.5.2}	all	0.61812
Ets-related factors{3.5.2}	all	0.60009
Ets-related factors{3.5.2}	all	0.80075
Ets-related factors{3.5.2}	all	0.78771
Ets-related factors{3.5.2}	all	0.75432
Ets-related factors{3.5.2}	all	0.76497
Ets-related factors{3.5.2}	all	0.81094
Ets-related factors{3.5.2}	all	0.54438
Ets-related factors{3.5.2}	all	0.82473
Ets-related factors{3.5.2}	all	0.85089
Ets-related factors{3.5.2}	all	0.81479
Ets-related factors{3.5.2}	all	0.61664
Ets-related factors{3.5.2}	all	0.601
Ets-related factors{3.5.2}	all	0.58575
Ets-related factors{3.5.2}	all	0.68
Ets-related factors{3.5.2}	all	0.78152
Ets-related factors{3.5.2}	all	0.72723
Ets-related factors{3.5.2}	all	0.78551
Ets-related factors{3.5.2}	all	0.76775
Ets-related factors{3.5.2}	all	0.78382
Ets-related factors{3.5.2}	all	0.77806
Ets-related factors{3.5.2}	all	0.79931
Ets-related factors{3.5.2}	all	0.78019
Ets-related factors{3.5.2}	all	0.80661
Ets-related factors{3.5.2}	all	0.78186
Ets-related factors{3.5.2}	all	0.84581
Ets-related factors{3.5.2}	all	0.79945
Ets-related factors{3.5.2}	all	0.78088
Ets-related factors{3.5.2}	all	0.78117
Ets-related factors{3.5.2}	all	0.78856
Ets-related factors{3.5.2}	all	0.77824
Ets-related factors{3.5.2}	all	0.87653
Ets-related factors{3.5.2}	all	0.76269
Ets-related factors{3.5.2}	all	0.84383
Ets-related factors{3.5.2}	all	0.77681
Ets-related factors{3.5.2}	all	0.89859
Ets-related factors{3.5.2}	all	0.87627
Ets-related factors{3.5.2}	all	0.86529
Ets-related factors{3.5.2}	all	0.85392
Ets-related factors{3.5.2}	all	0.58198
Ets-related factors{3.5.2}	all	0.7517
Ets-related factors{3.5.2}	all	0.76805
Ets-related factors{3.5.2}	all	0.79874
Ets-related factors{3.5.2}	all	0.77768
Ets-related factors{3.5.2}	all	0.88914
Ets-related factors{3.5.2}	all	0.87779
Ets-related factors{3.5.2}	all	0.86682
Ets-related factors{3.5.2}	all	0.87263
Ets-related factors{3.5.2}	all	0.86201
Ets-related factors{3.5.2}	all	0.81199
Ets-related factors{3.5.2}	all	0.79453
Ets-related factors{3.5.2}	all	0.89028
Ets-related factors{3.5.2}	all	0.85982
Ets-related factors{3.5.2}	all	0.86517
Ets-related factors{3.5.2}	all	0.80873
Ets-related factors{3.5.2}	all	0.81245
Ets-related factors{3.5.2}	all	0.87402
Ets-related factors{3.5.2}	all	0.87492
Ets-related factors{3.5.2}	all	0.79924
Ets-related factors{3.5.2}	all	0.81293
Ets-related factors{3.5.2}	all	0.79933
Ets-related factors{3.5.2}	all	0.92869
Ets-related factors{3.5.2}	all	0.94498
Ets-related factors{3.5.2}	all	0.94051
Ets-related factors{3.5.2}	all	0.93716
Ets-related factors{3.5.2}	all	0.94231
Ets-related factors{3.5.2}	all	0.92366
Ets-related factors{3.5.2}	all	0.94273
Ets-related factors{3.5.2}	all	0.70003
Ets-related factors{3.5.2}	all	0.95743
Ets-related factors{3.5.2}	all	0.94338
Ets-related factors{3.5.2}	all	0.89338
Ets-related factors{3.5.2}	all	0.88003
Ets-related factors{3.5.2}	all	0.8807
Ets-related factors{3.5.2}	all	0.77519
Ets-related factors{3.5.2}	all	0.93116
Ets-related factors{3.5.2}	all	0.93056
Ets-related factors{3.5.2}	all	0.87314
Ets-related factors{3.5.2}	all	0.52521
Ets-related factors{3.5.2}	all	0.46189
Ets-related factors{3.5.2}	all	0.67622
Ets-related factors{3.5.2}	all	0.77293
Ets-related factors{3.5.2}	all	0.9054
Ets-related factors{3.5.2}	all	0.89391
Ets-related factors{3.5.2}	all	0.90401
Ets-related factors{3.5.2}	all	0.8789
Ets-related factors{3.5.2}	all	0.87066
Ets-related factors{3.5.2}	all	0.84344
Ets-related factors{3.5.2}	all	0.73135
Ets-related factors{3.5.2}	all	0.65633
Ets-related factors{3.5.2}	all	0.81048
Ets-related factors{3.5.2}	all	0.81537
Ets-related factors{3.5.2}	all	0.90818
Ets-related factors{3.5.2}	all	0.9318
Ets-related factors{3.5.2}	all	0.93916
Ets-related factors{3.5.2}	all	0.91958
Ets-related factors{3.5.2}	all	0.92829
Ets-related factors{3.5.2}	all	0.92845
Ets-related factors{3.5.2}	all	0.8026
Ets-related factors{3.5.2}	all	0.65855
Ets-related factors{3.5.2}	all	0.74917
Ets-related factors{3.5.2}	all	0.79077
Ets-related factors{3.5.2}	all	0.78268
Ets-related factors{3.5.2}	all	0.83277
Ets-related factors{3.5.2}	all	0.74524
Ets-related factors{3.5.2}	all	0.82042
Ets-related factors{3.5.2}	all	0.72687
Ets-related factors{3.5.2}	all	0.69101
Ets-related factors{3.5.2}	all	0.88119
Ets-related factors{3.5.2}	all	0.85681
Ets-related factors{3.5.2}	all	0.88119
Ets-related factors{3.5.2}	all	0.86046
Ets-related factors{3.5.2}	all	0.86655
Ets-related factors{3.5.2}	all	0.55093
Ets-related factors{3.5.2}	all	0.85763
Ets-related factors{3.5.2}	all	0.86988
Ets-related factors{3.5.2}	all	0.87707
Ets-related factors{3.5.2}	all	0.77102
Ets-related factors{3.5.2}	all	0.75325
Ets-related factors{3.5.2}	all	0.71776
Ets-related factors{3.5.2}	all	0.80006
Ets-related factors{3.5.2}	all	0.94501
Ets-related factors{3.5.2}	all	0.86078
Ets-related factors{3.5.2}	all	0.93031
Ets-related factors{3.5.2}	all	0.93556
Ets-related factors{3.5.2}	all	0.9494
Ets-related factors{3.5.2}	all	0.94362
Ets-related factors{3.5.2}	all	0.9438
Ets-related factors{3.5.2}	all	0.94327
Ets-related factors{3.5.2}	all	0.95556
Ets-related factors{3.5.2}	all	0.91473
Ets-related factors{3.5.2}	all	0.93263
Ets-related factors{3.5.2}	all	0.95739
Ets-related factors{3.5.2}	all	0.94065
Ets-related factors{3.5.2}	all	0.94076
Ets-related factors{3.5.2}	all	0.9476
Ets-related factors{3.5.2}	all	0.86138
Ets-related factors{3.5.2}	all	0.93124
Ets-related factors{3.5.2}	all	0.83279
Ets-related factors{3.5.2}	all	0.90883
Ets-related factors{3.5.2}	all	0.84757
Ets-related factors{3.5.2}	all	0.93675
Ets-related factors{3.5.2}	all	0.92694
Ets-related factors{3.5.2}	all	0.92211
Ets-related factors{3.5.2}	all	0.91362
Ets-related factors{3.5.2}	all	0.69556
Ets-related factors{3.5.2}	all	0.83485
Ets-related factors{3.5.2}	all	0.85333
Ets-related factors{3.5.2}	all	0.86742
Ets-related factors{3.5.2}	all	0.8342
Ets-related factors{3.5.2}	all	0.92788
Ets-related factors{3.5.2}	all	0.92244
Ets-related factors{3.5.2}	all	0.92146
Ets-related factors{3.5.2}	all	0.92114
Ets-related factors{3.5.2}	all	0.9124
Ets-related factors{3.5.2}	all	0.8759
Ets-related factors{3.5.2}	all	0.8614
Ets-related factors{3.5.2}	all	0.93719
Ets-related factors{3.5.2}	all	0.91804
Ets-related factors{3.5.2}	all	0.92322
Ets-related factors{3.5.2}	all	0.87614
Ets-related factors{3.5.2}	all	0.87642
Ets-related factors{3.5.2}	all	0.92079
Ets-related factors{3.5.2}	all	0.91802
Ets-related factors{3.5.2}	all	0.87471
Ets-related factors{3.5.2}	all	0.88625
Ets-related factors{3.5.2}	all	0.88054
Ets-related factors{3.5.2}	all	0.7625
Ets-related factors{3.5.2}	all	0.84034
Ets-related factors{3.5.2}	all	0.78297
Ets-related factors{3.5.2}	all	0.78231
Ets-related factors{3.5.2}	all	0.78999
Ets-related factors{3.5.2}	all	0.77779
Ets-related factors{3.5.2}	all	0.80136
Ets-related factors{3.5.2}	all	0.48388
Ets-related factors{3.5.2}	all	0.8058
Ets-related factors{3.5.2}	all	0.7989
Ets-related factors{3.5.2}	all	0.77147
Ets-related factors{3.5.2}	all	0.76736
Ets-related factors{3.5.2}	all	0.76446
Ets-related factors{3.5.2}	all	0.67503
Ets-related factors{3.5.2}	all	0.73737
Ets-related factors{3.5.2}	all	0.75334
Ets-related factors{3.5.2}	all	0.65961
Ets-related factors{3.5.2}	all	0.37941
Ets-related factors{3.5.2}	all	0.32884
Ets-related factors{3.5.2}	all	0.46867
Ets-related factors{3.5.2}	all	0.57417
Ets-related factors{3.5.2}	all	0.71245
Ets-related factors{3.5.2}	all	0.7538
Ets-related factors{3.5.2}	all	0.77276
Ets-related factors{3.5.2}	all	0.7564
Ets-related factors{3.5.2}	all	0.7246
Ets-related factors{3.5.2}	all	0.62455
Ets-related factors{3.5.2}	all	0.62939
Ets-related factors{3.5.2}	all	0.61118
Ets-related factors{3.5.2}	all	0.74664
Ets-related factors{3.5.2}	all	0.75796
Ets-related factors{3.5.2}	all	0.6865
Ets-related factors{3.5.2}	all	0.78283
Ets-related factors{3.5.2}	all	0.74044
Ets-related factors{3.5.2}	all	0.75009
Ets-related factors{3.5.2}	all	0.74078
Ets-related factors{3.5.2}	all	0.73125
Ets-related factors{3.5.2}	all	0.67788
Ets-related factors{3.5.2}	all	0.54355
Ets-related factors{3.5.2}	all	0.63853
Ets-related factors{3.5.2}	all	0.66721
Ets-related factors{3.5.2}	all	0.6633
Ets-related factors{3.5.2}	all	0.71092
Ets-related factors{3.5.2}	all	0.6398
Ets-related factors{3.5.2}	all	0.70395
Ets-related factors{3.5.2}	all	0.61252
Ets-related factors{3.5.2}	all	0.59706
Ets-related factors{3.5.2}	all	0.76892
Ets-related factors{3.5.2}	all	0.7428
Ets-related factors{3.5.2}	all	0.71981
Ets-related factors{3.5.2}	all	0.74933
Ets-related factors{3.5.2}	all	0.70819
Ets-related factors{3.5.2}	all	0.54401
Ets-related factors{3.5.2}	all	0.67401
Ets-related factors{3.5.2}	all	0.71202
Ets-related factors{3.5.2}	all	0.69511
Ets-related factors{3.5.2}	all	0.53846
Ets-related factors{3.5.2}	all	0.51777
Ets-related factors{3.5.2}	all	0.48725
Ets-related factors{3.5.2}	all	0.60658
Ets-related factors{3.5.2}	all	0.76987
Ets-related factors{3.5.2}	all	0.69626
Ets-related factors{3.5.2}	all	0.7732
Ets-related factors{3.5.2}	all	0.7457
Ets-related factors{3.5.2}	all	0.76061
Ets-related factors{3.5.2}	all	0.77138
Ets-related factors{3.5.2}	all	0.77715
Ets-related factors{3.5.2}	all	0.76234
Ets-related factors{3.5.2}	all	0.78346
Ets-related factors{3.5.2}	all	0.77494
Ets-related factors{3.5.2}	all	0.78329
Ets-related factors{3.5.2}	all	0.78196
Ets-related factors{3.5.2}	all	0.75531
Ets-related factors{3.5.2}	all	0.75032
Ets-related factors{3.5.2}	all	0.76612
Ets-related factors{3.5.2}	all	0.56123
Ets-related factors{3.5.2}	all	0.60645
Ets-related factors{3.5.2}	all	0.55877
Ets-related factors{3.5.2}	all	0.60364
Ets-related factors{3.5.2}	all	0.57564
Ets-related factors{3.5.2}	all	0.60554
Ets-related factors{3.5.2}	all	0.61297
Ets-related factors{3.5.2}	all	0.61168
Ets-related factors{3.5.2}	all	0.61787
Ets-related factors{3.5.2}	all	0.44237
Ets-related factors{3.5.2}	all	0.56132
Ets-related factors{3.5.2}	all	0.57687
Ets-related factors{3.5.2}	all	0.56801
Ets-related factors{3.5.2}	all	0.57411
Ets-related factors{3.5.2}	all	0.63803
Ets-related factors{3.5.2}	all	0.64593
Ets-related factors{3.5.2}	all	0.60778
Ets-related factors{3.5.2}	all	0.6043
Ets-related factors{3.5.2}	all	0.61374
Ets-related factors{3.5.2}	all	0.58724
Ets-related factors{3.5.2}	all	0.58561
Ets-related factors{3.5.2}	all	0.58616
Ets-related factors{3.5.2}	all	0.59559
Ets-related factors{3.5.2}	all	0.60185
Ets-related factors{3.5.2}	all	0.57145
Ets-related factors{3.5.2}	all	0.57043
Ets-related factors{3.5.2}	all	0.59778
Ets-related factors{3.5.2}	all	0.6069
Ets-related factors{3.5.2}	all	0.56591
Ets-related factors{3.5.2}	all	0.55695
Ets-related factors{3.5.2}	all	0.55978
Ets-related factors{3.5.2}	all	0.64898
Ets-related factors{3.5.2}	all	0.76384
Ets-related factors{3.5.2}	all	0.66287
Ets-related factors{3.5.2}	all	0.67253
Ets-related factors{3.5.2}	all	0.67243
Ets-related factors{3.5.2}	all	0.69929
Ets-related factors{3.5.2}	all	0.71427
Ets-related factors{3.5.2}	all	0.40121
