NKX2-5	BAR15A.NKX2.5_REF_R1_combinatorial
Sfpi1	SCI09.Sfpi1_1034.3_v2_deBruijn
Six6	SCI09.Six6_2267.4_v1_deBruijn
Six6	SCI09.Six6_2267.4_v2_deBruijn
Smad3	SCI09.Smad3_3805.1_v1_deBruijn
Smad3	SCI09.Smad3_3805.3_v2_deBruijn
Sox1	SCI09.Sox1_2631.2_v1_deBruijn
Sox1	SCI09.Sox1_2631.2_v2_deBruijn
Sox11	SCI09.Sox11_2266.2_v1_deBruijn
Sox11	SCI09.Sox11_2266.2_v2_deBruijn
Sox12	SCI09.Sox12_3957.1_v1_deBruijn
Sox12	SCI09.Sox12_3957.1_v2_deBruijn
Sox13	SCI09.Sox13_1718.2_v1_deBruijn
Sox13	SCI09.Sox13_1718.2_v2_deBruijn
Sox14	SCI09.Sox14_2677.2_v1_deBruijn
Sox14	SCI09.Sox14_2677.2_v2_deBruijn
Sox15	SCI09.Sox15_3457.1_v1_deBruijn
Sox15	SCI09.Sox15_3457.1_v2_deBruijn
Sox17	SCI09.Sox17_2837.2_v1_deBruijn
Sox17	SCI09.Sox17_2837.2_v2_deBruijn
Sox18	SCI09.Sox18_3506.1_v1_deBruijn
Sox18	SCI09.Sox18_3506.1_v2_deBruijn
Sox21	SCI09.Sox21_3417.1_v1_deBruijn
Sox21	SCI09.Sox21_3417.1_v2_deBruijn
Sox30	SCI09.Sox30_2781.2_v1_deBruijn
Sox30	SCI09.Sox30_2781.2_v2_deBruijn
Sox4	SCI09.Sox4_2941.2_v1_deBruijn
Sox4	SCI09.Sox4_2941.2_v2_deBruijn
Sox5	SCI09.Sox5_3459.1_v1_deBruijn
Sox5	SCI09.Sox5_3459.1_v2_deBruijn
Sox7	SCI09.Sox7_3460.1_v1_deBruijn
Sox7	SCI09.Sox7_3460.2_v2_deBruijn
Sox7	SCI09.Sox7_4972.2_v1_deBruijn
Sox7	SCI09.Sox7_4972.2_v2_deBruijn
Sox8	SCI09.Sox8_1733.2_v1_deBruijn
Sox8	SCI09.Sox8_1733.2_v2_deBruijn
Sp100	SCI09.Sp100_2947.2_v1_deBruijn
Sp100	SCI09.Sp100_2947.2_v2_deBruijn
Sp4	SCI09.Sp4_1011.2_v1_deBruijn
Sp4	SCI09.Sp4_1011.2_v2_deBruijn
Spdef	SCI09.Spdef_0905.2_v1_deBruijn
Spdef	SCI09.Spdef_0905.2_v2_deBruijn
Srf	SCI09.Srf_3509.1_v1_deBruijn
Srf	SCI09.Srf_3509.1_v2_deBruijn
Sry	SCI09.Sry_2833.2_v1_deBruijn
Sry	SCI09.Sry_2833.2_v2_deBruijn
Tcf1	SCI09.Tcf1_2666.2_v1_deBruijn
Tcf1	SCI09.Tcf1_2666.2_v2_deBruijn
Tcf1	SCI09.Tcf1_2666.3_v1_deBruijn
Tcf1	SCI09.Tcf1_2666.3_v2_deBruijn
Tcf3	SCI09.Tcf3_3787.1_v1_deBruijn
Tcf3	SCI09.Tcf3_3787.1_v2_deBruijn
Tcf7	SCI09.Tcf7_0950.2_v1_deBruijn
Tcf7	SCI09.Tcf7_0950.2_v2_deBruijn
Tcf7l2	SCI09.Tcf7l2_3461.1_v1_deBruijn
Tcf7l2	SCI09.Tcf7l2_3461.1_v2_deBruijn
Tcfap2a	SCI09.Tcfap2a_2337.3_v1_deBruijn
Tcfap2a	SCI09.Tcfap2a_2337.3_v2_deBruijn
Tcfap2b	SCI09.Tcfap2b_3988.1_v1_deBruijn
Tcfap2b	SCI09.Tcfap2b_3988.1_v2_deBruijn
Tcfap2c	SCI09.Tcfap2c_2912.2_v1_deBruijn
Tcfap2c	SCI09.Tcfap2c_2912.2_v2_deBruijn
Tcfap2e	SCI09.Tcfap2e_3713.1_v1_deBruijn
Tcfap2e	SCI09.Tcfap2e_3713.1_v2_deBruijn
Tcfe2a	SCI09.Tcfe2a_3865.1_v1_deBruijn
Tcfe2a	SCI09.Tcfe2a_3865.1_v2_deBruijn
Zbtb12	SCI09.Zbtb12_2932.2_v1_deBruijn
Zbtb12	SCI09.Zbtb12_2932.2_v2_deBruijn
Zbtb3	SCI09.Zbtb3_1048.2_v1_deBruijn
Zbtb3	SCI09.Zbtb3_1048.2_v2_deBruijn
Zbtb7b	SCI09.Zbtb7b_1054.2_v1_deBruijn
Zbtb7b	SCI09.Zbtb7b_1054.2_v2_deBruijn
Zfp105	SCI09.Zfp105_2634.2_v1_deBruijn
Zfp105	SCI09.Zfp105_2634.2_v2_deBruijn
Zfp128	SCI09.Zfp128_2806.2_v1_deBruijn
Zfp128	SCI09.Zfp128_2806.2_v2_deBruijn
Zfp161	SCI09.Zfp161_2858.2_v1_deBruijn
Zfp161	SCI09.Zfp161_2858.2_v2_deBruijn
Zfp187	SCI09.Zfp187_2626.2_v1_deBruijn
Zfp187	SCI09.Zfp187_2626.2_v2_deBruijn
Zfp281	SCI09.Zfp281_0973.2_v1_deBruijn
Zfp281	SCI09.Zfp281_0973.2_v2_deBruijn
Zfp410	SCI09.Zfp410_3034.2_v1_deBruijn
Zfp410	SCI09.Zfp410_3034.2_v2_deBruijn
Zfp691	SCI09.Zfp691_0895.2_v1_deBruijn
Zfp691	SCI09.Zfp691_0895.2_v2_deBruijn
Zfp740	SCI09.Zfp740_0925.2_v2_deBruijn
Zfp740	SCI09.Zfp740_0925.3_v1_deBruijn
Zic1	SCI09.Zic1_0991.2_v1_deBruijn
Zic1	SCI09.Zic1_0991.2_v2_deBruijn
Zic2	SCI09.Zic2_2895.2_v1_deBruijn
Zic2	SCI09.Zic2_2895.2_v2_deBruijn
Zic3	SCI09.Zic3_3119.2_v1_deBruijn
Zic3	SCI09.Zic3_3119.2_v2_deBruijn
Zscan4	SCI09.Zscan4_2667.2_v1_deBruijn
Zscan4	SCI09.Zscan4_2667.2_v2_deBruijn
